locality,bhk,area_sqft,price_lakhs
Ambernath,1,690,25
Ambernath,1,730,39
Ambernath,2,720,35
Ambernath,1,695,26
Ambernath,1,695,26
Ambernath,1,730,35
Ambernath,2,900,45
Ambernath,2,980,45
Ambernath,5,1900,65
Ambernath,1,590,26
Ambernath,2,950,40
Ambernath,2,700,30
Ambernath,1,630,27
Ambernath,2,710,31
Ambernath,1,692,29
Ambernath,2,985,36
Ambernath,1,695,26
Ambernath,2,1000,46
Ambernath,1,730,35
Ambernath,1,376,18
Ambernath,1,356,12
Ambernath,1,680,28
Ambernath,1,645,33
Ambernath,1,615,26
Ambernath,2,710,40
Ambernath,1,559,33
Ambernath,2,950,40
Ambernath,2,900,44
Ambernath,1,730,36
Ambernath,1,497,17
Ambernath,1,640,34
Ambernath,1,708,32
Ambernath,1,710,36
Ambernath,1,589,26
Ambernath,1,589,26
Ambernath,1,605,24
Ambernath,1,645,24
Ambernath,1,577,26
Ambernath,2,1027,43
Ambernath,2,780,45
Ambernath,1,680,30
Ambernath,2,780,45
Ambernath,1,675,24
Ambernath,1,451,23
Ambernath,2,751,34
Ambernath,1,710,24
Ambernath,1,626,25
Ambernath,1,615,23
Ambernath,1,522,24
Ambernath,1,555,23
Ambernath,2,1040,38
Ambernath,1,730,38
Ambernath,2,900,50
Ambernath,1,550,24
Ambernath,2,752,34
Ambernath,1,518,22
Ambernath,2,760,41
Ambernath,1,610,21
Ambernath,1,487,22
Ambernath,2,680,32
Ambernath,1,730,37
Ambernath,1,675,24
Ambernath,1,705,25
Ambernath,2,1025,45
Ambernath,2,850,45
Ambernath,2,752,33
Ambernath,2,608,34
Ambernath,1,680,24
Ambernath,1,620,23
Ambernath,1,501,22
Ambernath,2,598,30
Ambernath,1,568,23
Ambernath,1,620,24
Ambernath,1,451,22
Ambernath,1,522,23
Ambernath,1,590,25
Ambernath,2,950,33
Ambernath,2,710,38
Ambernath,2,840,40
Ambernath,1,640,27
Ambernath,2,760,32
Ambernath,2,1040,37
Ambernath,2,750,41
Ambernath,1,451,23
Ambernath,1,540,30
Ambernath,2,720,40
Ambernath,1,685,26
Ambernath,1,630,34
Ambernath,1,685,26
Ambernath,2,947,42
Ambernath,2,790,35
Ambernath,2,1025,45
Ambernath,2,838,35
Ambernath,1,670,27
Ambernath,2,850,40
Ambernath,2,750,34
Ambernath,1,610,24
Ambernath,2,936,46
Ambernath,1,618,22
Ambernath,2,812,30
Ambernath,2,750,37
Ambernath,2,950,35
Ambernath,1,615,23
Ambernath,1,645,25
Ambernath,1,664,25
Ambernath,1,590,22
Ambernath,2,720,32
Ambernath,1,630,23
Ambernath,1,680,27
Ambernath,1,550,21
Ambernath,2,780,27
Ambernath,2,870,34
Ambernath,2,795,42
Ambernath,2,1030,37
Ambernath,3,1361,75
Ambernath,2,995,38
Ambernath,1,451,23
Ambernath,1,620,25
Ambernath,2,1000,38
Ambernath,1,605,24
Ambernath,2,872,33
Ambernath,2,1009,40
Ambernath,1,581,23
Ambernath,1,690,24
Ambernath,2,780,36
Ambernath,1,568,24
Ambernath,1,650,24
Ambernath,1,685,26
Ambernath,1,675,25
Ambernath,1,680,24
Ambernath,1,435,23
Ambernath,2,1000,44
Ambernath,1,620,24
Ambernath,1,730,25
Ambernath,2,1025,45
Ambernath,1,675,24
Ambernath,2,713,32
Ambernath,1,605,24
Ambernath,1,638,25
Ambernath,1,664,25
Ambernath,1,645,27
Ambernath,2,1035,36
Ambernath,1,540,19
Ambernath,2,800,42
Ambernath,1,409,23
Ambernath,2,800,33
Ambernath,1,685,25
Ambernath,2,855,41
Ambernath,2,750,37
Ambernath,1,672,28
Ambernath,1,680,25
Ambernath,2,710,32
Ambernath,2,850,33
Ambernath,2,850,33
Ambernath,2,807,36
Ambernath,1,610,25
Ambernath,3,850,50
Ambernath,1,543,26
Ambernath,2,996,42
Ambernath,1,650,28
Ambernath,1,680,25
Ambernath,2,872,31
Ambernath,1,720,26
Ambernath,1,425,20
Ambernath,2,900,46
Ambernath,1,645,27
Ambernath,1,858,37
Ambernath,2,870,36
Ambernath,2,850,34
Ambernath,2,865,40
Ambernath,2,675,30
Ambernath,1,660,25
Ambernath,1,645,29
Ambernath,1,615,28
Ambernath,2,752,36
Ambernath,2,906,41
Ambernath,1,650,29
Ambernath,1,620,21
Ambernath,1,650,27
Ambernath,1,615,24
Ambernath,2,750,33
Ambernath,1,650,22
Ambernath,1,670,24
Ambernath,1,550,24
Ambernath,1,672,28
Ambernath,1,605,24
Ambernath,2,920,36
Ambernath,1,708,24
Ambernath,1,517,21
Ambernath,2,1030,40
Ambernath,1,605,23
Ambernath,2,850,37
Ambernath,2,1030,51
Ambernath,1,675,23
Ambernath,2,698,40
Ambernath,1,580,24
Ambernath,1,605,24
Ambernath,2,780,45
Ambernath,1,660,25
Ambernath,1,640,22
Ambernath,1,520,25
Ambernath,1,600,24
Ambernath,1,620,24
Ambernath,2,875,35
Ambernath,1,690,26
Ambernath,1,581,21
Ambernath,1,577,26
Ambernath,1,750,33
Ambernath,1,581,21
Ambernath,1,708,24
Ambernath,1,605,25
Ambernath,1,500,21
Ambernath,1,415,20
Ambernath,2,1005,34
Ambernath,1,850,38
Ambernath,2,1030,38
Ambernath,1,700,28
Ambernath,1,675,27
Ambernath,1,730,37
Ambernath,2,1090,40
Ambernath,1,630,30
Ambernath,2,780,40
Ambernath,1,776,27
Ambernath,1,513,22
Ambernath,1,564,23
Ambernath,1,630,30
Ambernath,2,795,40
Ambernath,2,910,49
Ambernath,2,872,31
Ambernath,2,850,33
Ambernath,3,1089,59
Ambernath,1,672,28
Ambernath,1,681,24
Ambernath,1,599,24
Ambernath,3,960,50
Ambernath,1,610,25
Ambernath,2,1057,40
Ambernath,1,685,26
Ambernath,1,605,25
Ambernath,1,615,24
Ambernath,2,850,34
Ambernath,1,675,25
Ambernath,1,605,26
Ambernath,1,570,25
Ambernath,2,740,42
Ambernath,1,510,26
Ambernath,2,750,35
Ambernath,2,698,41
Ambernath,2,872,31
Ambernath,1,622,23
Ambernath,1,520,22
Ambernath,1,590,27
Ambernath,2,610,32
Ambernath,1,646,26
Ambernath,2,1050,43
Ambernath,2,900,46
Ambernath,1,675,23
Ambernath,1,675,23
Ambernath,2,855,39
Ambernath,2,830,40
Ambernath,1,639,25
Ambernath,1,799,27
Ambernath,1,685,26
Ambernath,1,680,28
Ambernath,1,600,22
Ambernath,2,1025,45
Ambernath,2,906,40
Ambernath,2,890,36
Ambernath,1,675,25
